Reference Type,Author,Year,Title,Title of Journal,Volume,Issue,Page Range,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Journal Article,"Abreu, Luís Machado de",2005,O discurso do anticlericalismo português (1850–1926) — II,Brotéria: Cristianismo e cultura,160,2,161–188,,February,0870-7618,,,,,19th century|20th century,Controversies -- Anti-Jesuitism|History -- Regional|Politics,Europe -- Portugal,,"Remate do estudo, apresentando um inventário, com breve caracterização, dos dezasseis temas mais frequentes e relevantes neste discurso; referência também para uma tipologia dos discursos, segundo a organização das ideias e matérias, e uma listagem dos mais comuns mecanismos argumentativos do anticlericalismo. A conclusão aponta as fraquezas do discurso e contextualiza-o na busca de equilíbrio de poderes numa sociedade a caminho da modernidade.",,,,,Portuguese,REVIEW
Journal Article,"Abreu, Luís Machado de",2005,O discurso do anticlericalismo português (1850–1926) — I,Brotéria: Cristianismo e cultura,160,1,45–61,,January,0870-7618,,,,,19th century|20th century,Controversies -- Anti-Jesuitism|History -- Regional|Politics,Europe -- Portugal,,"Primeira parte dum estudo que, fazendo uso da técnica da análise de conteúdo, pretende ler a complexidade do anticlericalismo, objectivando o seu discurso, desde as polémicas de Herculano até ao fim da 1.ª República. Aqui, estabelece-se o corpus respectivo, enquadrando-o ideológica e politicamente, aponta-se o seu carácter reactivo, explica-se a delimitação usada e enumeram-se as fontes.",,,,,Portuguese,REVIEW
Journal Article,,2005,"Prof. Roman Darowski, S.J.: On the Occasion of His Seventieth Year",Forum philosophicum: International Journal for Philosophy,10,,253–255,,November,1426-1898,10.5840/forphil20051033,,https://www.pdcnet.org/forphil/content/forphil_2005_0010_0253_0255,,20th century,Philosophy|Biography -- Intellectual,Europe -- Poland,"Darowski, Roman, 1935–2017",,,,,,English,REVIEW
Journal Article,"Cacho Nazabal, Ignacio",2006,Pedro Arrupe: Un general para el cambio,Anuario del Instituto Ignacio de Loyola,13,,57–76,,,1135-8513,,http://worldcat.org/oclc/44924153,,,20th century,Generals -- Pedro Arrupe|Government -- Generals|Biography,,"Arrupe, Pedro, 1907–1991",,,,,,Spanish,REVIEW
Journal Article,"Rambla, Josep María",2006,"Ignacio de Loyola, seglares y jesuitas: “Perfección en cualquier estado o vida”",EIDES,,48,5–30,,November,,,,https://www.cristianismeijusticia.net/es/ignacio-de-loyola-seglares-y-jesuitas-%E2%80%9Cperfecci%C3%B3n-en-cualquier-estado-o-vida%E2%80%9D-ejercicios-espirituale,,16th century,Ignatius of Loyola -- Spirituality|Identity,Europe,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,REVIEW
Journal Article,"Županović, Lovro",2006,Izvori za glazbeni barok u Varazdinu,Radovi Zavoda za znanstveni rad Varaždin,,16–17,149–152,,,0352-9509,,,http://hrcak.srce.hr/8697,,18th century,Arts -- Music -- Baroque|Churches -- History -- Local,Europe -- Croatia -- Varaždin,,"U ovom tekstu autor spominje pet je mogućih izvorišta glazbenog baroka u Varaždinu. To su: isusovačka crkva, franjevački samostan, samostan uršulinki, župna crkva Sv. Nikole i, samo uvjetno, Musikverein. Prikazujući precizno svaki od mogućih izvora autor naglašava da o prvom izvorištu ( isusovačka crkva) nije sačuvano ništa, dok se kod franjevaca (drugo izvorište) mogu naći dosta bogata građa koju u prvom redu tvore tri «omašna rukopisna kantuala s ukupno 51 misom te još jedan kantual s koralnim misama i gradualima». (To je tzv. Remetinečki kantual iz 1707. i dva kantuala o. Konrada Potočnika iz 1731. i 1732. koji su u Varaždin doprli iz Križevaca nakon ukinuća tamošnjeg samostana 1786.) U trećem izvoru, a riječ je o samostanu sestri uršulinki, nalazimo neprocjenjivo bogatstvo glazbene građe pretežno duhovne ali i svjetovne sadržajnosti što posebno dugujemo velezaslužnom znanstveniku / istraživaču ovoga grada, pok. Krešimiru Filiću. On ju je prvi pronašao i o tome iscrpno prozborio u svom Glazbenom životu Varaždina (1972.), a na osnovi njegova teksta bilo je moguće doći do partitura na temelju kojih je priređena građa za (danas označen kao «povijesni») koncert s naslovom VARAŽDINSKI SKLADATELJSKI KRUG S KRAJA XVIII. STOLJEĆA (1973.). U crkvi Sv. Nikole, kor .upne crkve sv. Nikole, bio je rasadište duhovnoga glazbenog stvaralaštva i inozemnih i varaždinskih glazbenika-orguljaša, među kojima i (najznačajnijeg) domaćeg sina L. I. Ebnera. što se tiče Musikvereina važno reći da je glazbenim priredbama sudjelovao i L. I. Ebner sa svojom kćeri i učenicom Marijom i tada nerijetko izvodio i (svjetovna) djela koncertnog/koncertantnog karaktera, nastala u minulom stoljeću. Najznačajnije za dvadeseto stoljeće su ipak Varaždinske barokne večeri koje stimuliranju istraživanja i prezentiranja glazbene bašćine hrvatskoga baroknog razdoblja. Prinos je zamašan i vrlo znakovit, posebice jer se pokazao inicirajućim putokazom za neke druge glazbene sredine u Hrvatskoj i prvim «utkivačem» takve građe u hrvatsku glazbenu svakodnevnicu.||In this text the author defines five possible sources of music baroque in Varazdin: the Jesuit Church, the Franciscan Monastery, the Ursuline Convent, parish church of St. Nicholas and the Musikverein. In his detailed description of each of the possible sources the author has emphasized that no evidence was kept of the first source (the Jesuit church). With the Franciscans (the second source) rich holding are to be found comprising first and foremost three ""large carol books with 51 masses and another carol book with choral masses and chorus psalms."" (These are the so called Remete carol book (Remetinecki kantual) of 1707 and two song books by Konrad Potocnik of 1731 and 1732 who arrived to Varazdin from Krizevci following the closure of their monastery in 1786). In the third source, the convent of the Ursulines, there is the priceless treasury of music holdings to be found including mostly spiritual but also secular topics largely due to famous scientist and researcher of this city, the late Kreimiru Filic. He was the first to find it and spoke about it in great detail in his work The Music Life of Varazdin (1972). His text represented the basis for the notes comprising the historical concert entitled ""The Late 18th Century Varadzin Composers"" (in 1973). The choir of St. Nicholas Church represented the hotbed of spirituals and foreign as well as Varazdin musicians—the organ players, including the famous L. I.Ebner. As for the Musikvereina it is worth mentioning that L. I. Ebner and his daughter and student took part in the music events and often performed (secular) concert/concert like works of the took part in the twentieth century. The most important feature of the twentieth century are the Varazdin Baroque Evenings. They encourage research and presentations of the Croatian Baroque musical heritage. Its contribution is comprehensive and significant, especially because it became an initiative signpost for other musical areas in Croatia and first ""weaver"" of such...",,,,,Croatian,REVIEW
Journal Article,"Zovko, Tihonija",2006,Središnja biskupijska i fakultetska knjižnica u Đakovu,Diacovensia,14,2,755–776,,,,,,http://hrcak.srce.hr/47733,,16th century|17th century|18th century|19th century|20th century,Education -- Universities -- History -- Local|Archives and Libraries -- History -- Local,Europe -- Croatia,,"U središnjim ustanovama Biskupije đakovačke i srijemske, u Đakovu postoji nekoliko bogatih knjižnica: Biskupijska knjižnica (koja obuhvaća knjižnicu biskupa Josipa Antuna Čolnića; knjižnicu biskupa Josipa Jurja Strossmayera; knjižnicu biskupa Stjepana Bäuerleina); Sjemenišna knjižnica – Knjižnica Teologije u Đakovu – Knjižnica Katoličkog bogoslovnog fakulteta (u njoj se čuva i knjižnica nekadašnjeg isusovačkog samostana iz Petrovaradina). Najvredniji fond knjižnice su 9 inkunabula te rukopisi iz 14. stoljeća. Po sadržaju knjige su iz područja biblijskih znanosti, filozofije, teologije, povijesti, književnosti, liturgije, zatim leksikoni, časopisi i drugo. Ukupno knjižni fond broji preko 130.000 svezaka knjiga i časopisa (100 svezaka iz 16. stoljeća, 1000 svezaka iz 17. stoljeća, nekoliko tisuća svezaka iz 18. stoljeća, ostalo je iz 19. i 20. stoljeća te oko 150 naslova stručnih revija i časopisa (preko 3.700 uvezanih godišta).||There are several libraries with rich library holdings at the central institutions of the Diocese of Dakovo and Srijem: Diocesan Library (comprising the Bishop Josip Antun Colnics Library, the Bishop Josip Juraj Strossmayers Library and the Bishop Stjepan Büuerlines Library); Seminary Library the Library of the Faculty of Theology in Dakovo (includes the library of the former Jesuit Monastery in Petrovaradin). The most valuable items in the library are nine incunabula and manuscripts from the 14th century. The books cover the areas of biblical sciences, philosophy, theology, history, literature, and liturgy. There are also lexicons, journals and other. The total library holdings comprise over 130 000 volumes of books and journals (100 volumes from the 16th century, 1000 volumes from the 17th century, several thousand volumes from the 18th century, and the rest dating from the 19th and 20th centuries, including 150 reviews and journals more than 3 700 hardcover editions).",,,,,Croatian,REVIEW
Journal Article,"Zhang, Xiping",2006,Western Missionaries and the Study of I Ching in the Early Qing Dynasty: A Dialogue between Chinese and Western Cultures,Lishi Yanjiu [历史研究],,3,74–85,,,0459-1909,,,,http://www.jesuitica.be/research/view/item/175/,16th century|17th century|18th century,Foreign Missions -- Biography|Foreign Missions -- Intercultural Dialogue|Foreign Missions -- Writings,Asia -- China,"Bouvet, Joachim, 1656–1730|Ricci, Matteo, 1552–1610","In the early 18th century, the Chinese Rites Controversy among the Christian missionaries developed into a cultural conflict between the royal court of the Qing Dynasty and the European rites represented by the Vatican. Emperor Kangxi began to rethink his religious policies and the relations of China with the West, so as to make the missionaries follow ""Matteo Ricci's principle."" It was in such a context that Kangxi invited a few French Jesuit missionaries, including Joachim Bouvet and J.F. Foucquet, to live in the Imperial Palace and study the Chinese Classic I Ching. A dialogue was held with these missionaries, based on their studies. This cultural dialogue revealed not only the contradictions among the Jesuit missionaries sent to China, and the cultural inclination of the Figurists such as Joachim Bouvet, but also Kangxi's strategies for dealing with the Jesuit missionaries in the Rites Controversy, and his attitude toward Western culture and religion.","English title of the journal: ""Historical Research"".",,,,Chinese,REVIEW
Journal Article,"Zas Friz del Col, Rossano",2006,"Pedro Fabro, amigo de Dios",Manresa,78,306,211–222,,,0214-2457,,http://worldcat.org/oclc/523076393,,,16th century,Saints and Blessed|First Jesuits -- Biography|First Jesuits -- Spirituality,,"Favre, Pierre, 1506–1546",,,,,,Spanish,REVIEW
Journal Article,"Zaniello, Tom",2006,'Flush with a new stroke of enthusiasm': Hopkins and the Isle of Man,Hopkins Quarterly,33,3–4,95–108,,Summer–Fall,0094-9086,,,https://sites.sju.edu/hopkinsquarterly/earlier-volumes/#vol33,,19th century,Literature -- Poetry|Spirituality,Europe -- UK -- Isle of Man,"Hopkins, Gerard Manley, 1844–1889",,,,,,English,REVIEW
Journal Article,"Zagano, Phyllis|Gillespie, C. Kevin",2006,Ignatian Spirituality and Positive Psychology,The Way,45,4,41–58,,October,0043-1575,,,http://www.theway.org.uk/back/454Zagano.pdf,,20th century|21st century,Ignatius of Loyola -- Spirituality|Spirituality -- Psychology,,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,English,REVIEW
Journal Article,"Yenson, Mark L.",2006,"Battered Hearts and the Trinity of Compassion: Women, the Cross, and Kenōsis",The Way,45,1,51–66,,January,0043-1575,,,http://www.theway.org.uk/back/451Yenson.pdf,,20th century,Theology -- Theology of the Cross|Theology -- Women|Theology -- Trinity,,"von Balthasar, Hans Urs, 1905–1988",,,,,,English,REVIEW
Journal Article,"Yan, Hui [閻輝]",2006,Qingdai zhantu lei gongting tongbanhua yishu yanjiu [清代戰圖類宮廷銅版畫藝術研究],Meishu yanjiu [美術研究],,3,46–50,,,0461-6855,,,http://cnki50.csis.com.tw/kns50/Navi/item.aspx?NaviID=1&BaseID=MUSE&NaviLink=美术研究,,18th century,Foreign Missions -- Arts -- Engravings|Foreign Missions -- Arts -- Painting|Foreign Missions -- Arts -- Art History,Asia -- China -- Beijing|Europe -- France -- Paris,"Castiglione, Giuseppe, 1688–1766|Attiret, Jean Denis, 1702–1768|Sichelbart, Ignaz, 1708–1780",,"Journal title in English: ""Art Journal"".",,,,Chinese,REVIEW
Journal Article,"Winkler, Ulrich",2006,Jacques Dupuis’ Vermächtnis einer katholischen Religionstheologie – Editorial,Salzburger Theologische Zeitschrift,10,1,1–8,,,1029-1792,,,https://www.sbg.ac.at/sathz/2006-1/SaThZ-2006-1_U2.pdf,,20th century|21st century,Theology -- Religious Pluralism|Theology -- Method,,"Dupuis, Jacques, 1923–2004",,,,,,German,REVIEW
Journal Article,"Whiteford, Peter",2006,Gerard Manley Hopkins and Ursula Bethell: An Antipodean Influence,Hopkins Quarterly,33,3–4,119–134,,Summer–Fall,0094-9086,,,https://sites.sju.edu/hopkinsquarterly/earlier-volumes/#vol33,,19th century,Literature -- Poetry|Biography |Literature -- Sources,Europe -- UK -- England,"Hopkins, Gerard Manley, 1844–1889",,,,,,English,REVIEW
Journal Article,"Weiers, Karl Heinz",2006,Der gute Hirt sucht das verlorene Schaf: Interpretation des Liedes Nr. 37 'Der Euangelisch Guter Hirt sucht das Verlohren Schäfflein' in Friedrich Spees Trutz-Nachtigall,Spee-Jahrbuch,13,,159–168,,,0947-0735,,,https://www.historicum.net/fileadmin/sxw/Themen/Hexenforschung/Speejb/spj_13_2006/11_spj_4_2006_159_168.pdf,,17th century,Literature -- Poetry|Theology -- Scripture -- Exegesis,,"von Spee, Friedrich, 1591–1635",,,,,,German,REVIEW
Journal Article,"Wandinger, Nikolaus",2006,"Raymund Schwager, S.J.: Dramatic Theology",Lonergan Workshop,19,,325–346,,,0148-2009,,,http://philpapers.org/rec/WANRSS-2,,20th century|21st century,Theology -- Dramatic|Theology -- Method,,"Schwager, Raymund, 1935–2004|Lonergan, Bernard J. F., 1904–1984",,,,,,English,REVIEW
Journal Article,"Waley-Cohen, Joanna",2006,On the Militarization of Culture in the Eighteenth-Century Qing Empire,Common Knowledge,12,1,96–106,,Winter,1538-4578,,,http://muse.jhu.edu/journals/common_knowledge/v012/12.1waley-cohen.html,,18th century,Foreign Missions -- History -- Regional -- Cultural History,Asia -- China,,,,,,,English,REVIEW
Journal Article,"Waddell, Mark A.",2006,"The World, As It Might Be: Iconography and Probabilism in the Mundus Subterraneus of Athanasius Kircher",Centaurus: An International Journal of the History of Science and Its Cultural Aspects,48,1,3–22,,January,0008-8994|1600-0498,10.1111/j.1600-0498.2006.00038.x,,http://onlinelibrary.wiley.com/doi/10.1111/j.1600-0498.2006.00038.x/abstract,,17th century,Theology -- Moral -- Probabilism|Arts -- Iconography|History of Books,,"Kircher, Athanasius, 1602–1680",,,,,,English,REVIEW
Journal Article,"Visintin, Stefano",2006,Il modernismo di George Tyrrell e 'Il Santo' di Antonio Fogazzaro,Studia patavina: Rivista di scienze religiose,53,4,483–502,,,0039-3304,,,https://www.academia.edu/274919/Il_Modernismo_Di_George_Tyrrell_E_Il_Santo_Di_Antonio_Fogarazzo,,19th century|20th century,Theology -- Movements -- Controversies|Literature|Theology -- Controversies,,"Tyrrell, George, 1861–1909",,,,,,Italian,REVIEW
Journal Article,"Villanueva, Francisco de",2006,Letter to a Former Retreatant,The Way,45,1,33–37,,January,0043-1575,,,http://www.theway.org.uk/back/451FIT.pdf,,16th century,Spirituality -- Retreats|Biography,,"Villaneuva, Francisco de, 1509–1557|Castro, Cristóbal de, 1551–1615",,,,,,English,REVIEW
Journal Article,"Villagrasa, Jesús",2006,"Origine, natura e prima ricezione delle ‘XXIV tesi tomistiche’ alla luce della controversia tra neotomismo e suarezismo",Divinitas,49,,341–82,,,0012-4222,,http://worldcat.org/oclc/1640582,,,20th century,Controversies -- Modernism|Philosophy -- Suarezianism|Theology -- Thomism,Europe,"Billot, Louis, 1846–1931",,,,,,Spanish,REVIEW
Journal Article,"Vila-Chã, João J.",2006,The Transformation of Consciousness: Walter J. Ong and the Presence of the Word in the Making of Culture,Lonergan Workshop,19,,286–323,,,0148-2009,,,http://philpapers.org/rec/VILTTO-2,,20th century,Philosophy -- Mind|Philosophy -- Culture,,"Lonergan, Bernard J. F., 1904–1984|Ong, Walter J., 1912–2003",,,,,,English,REVIEW
Journal Article,"Vidigal, J. G.",2006,"Dom Luciano Mendes de Almeida, SJ, Arcebispo emérito de Mariana, MG",Revista eclesiástica brasileira,66,,972–977,,,0101-8434,,http://worldcat.org/oclc/1697166,,,20th century|21st century,Foreign Missions -- Biography|Foreign Missions -- Bishops,South America -- Brazil,"Almeida, Luciano Mendes de, 1930–2006",,Abstracts in Portuguese and English.,,,,Portuguese,REVIEW
Journal Article,"Vertin, Michael",2006,The Finality of Human Spirit: From Maréchal to Lonergan,Lonergan Workshop,19,,267–286,,,0148-2009,,,http://philpapers.org/rec/VERTFO-6,,20th century,Philosophy -- Mind|Philosophy -- Anthropology,,"Lonergan, Bernard J. F., 1904–1984|Maréchal, Joseph, 1878–1944",,,,,,English,REVIEW
Journal Article,"Vermander, Benoît",2006,Exile and Virtual Space: The New Frontiers in Interreligious Dialogue,The Way,45,3,39–52,,July,0043-1575,,,http://www.theway.org.uk/back/453Vermander.pdf,,16th century,Theology -- Interreligious Dialogue|Spirituality|Identity,,"Francis Xavier, Saint, 1506–1552",,,,,,English,REVIEW
Journal Article,"Verd Conradi, Gabriel María",2006,"El soneto 'No me mueve, mi Dios, para quererte' y su versión Latina en los Países Bajos",Archivo teológico granadino,69,,49–70,,,0210-1629,,,,http://www.jesuitica.be/research/view/item/730/,17th century,Literature -- Poetry|Linguistics -- Translations|Literature -- Literary Criticism,Europe -- Spain -- Andalusia -- Granada,,,,,,,Spanish,REVIEW
Journal Article,"Ventura Rius, Albert",2006,"El testamento de 'El Antigo' (1550–1627), fundador del Colegio de Jesuitas de Segorbe y otras instituciones religiosas en Caudiel",Anales Valentinos,32,63,123–141,,,0210-0460,,,http://dialnet.unirioja.es/servlet/articulo?codigo=2366033,,16th century|17th century,Education -- Colleges -- History -- Local,Europe -- Spain -- Segorbe,,,,,,,Spanish,REVIEW
Journal Article,"Velinkar, Joseph",2006,"John Correia-Alfonso, S.J. (1924–2005)",Archivum historicum Societatis Iesu,75,,257–258,,,0037-8887,,http://worldcat.org/oclc/1513974,,,20th century|21st century,Biography|Hinduism -- Philosophy,,,,,,,,English,REVIEW
Journal Article,"Velez, Consuelo",2006,Los campos de significacion y el quehacer teologico: Una contribucion desde Bernard Lonergan,Cuestiones Teologicas y Filosoficas,33,79,97–115,,,0120-131X,,http://worldcat.org/oclc/820391659,,,20th century,Theology -- Method|Theology -- Hermeneutics,,"Lonergan, Bernard J. F., 1904–1984",,,,,,Spanish,REVIEW
Journal Article,"Vasconcelos de Saldanha, António",2006,"Fr. Tomás Pereira, S.J.: An Exercise on Intellect, Loyalty and Moral Authority",Daxiyangguo: Revista Portuguesa de Estudos Asiáticos,,9,109–118,,,1645-4677,,http://worldcat.org/oclc/474210448,,,17th century|18th century,Foreign Missions -- Biography|Foreign missions -- Philosophy -- Ethics,Asia -- China -- Macau,"Pereira, Tomás, 1645–1708",,,,,,English,REVIEW
Journal Article,"Van Kley, Dale K.",2006,The Rejuvenation and Rejection of Jansenism in History and Historiography: Recent Literature on Eighteenth-Century Jansenism in French,French Historical Studies,29,4,649–684,,,0016-1071,10.1215/00161071-2006-016,,http://fhs.dukejournals.org/content/29/4/649.full.pdf+html?sid=cf6f63e4-cc31-4dce-ac3b-7fd1c639f8d7,,18th century,Controversies -- Jansenism|Historiography,Europe -- France,,,,,,,English,REVIEW
Journal Article,"Van Hogendorp Prosperetti, Leopoldine",2006,Conchas legere: Shells as Trophies of Repose in Northern European Humanism,Art History,29,3,387–413,,June,0141-6790,10.1111/j.1467-8365.2006.00507.x,,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8365.2006.00507.x/full,,17th century,Philosophy -- Natural Philosophy|Politics|History -- Local,Europe -- Belgium -- Antwerp,,This paper interprets Hendrick Goltzius's 1603 portrait of a Dutch shell collector as a powerful statement on the cultural and spiritual ambitions of leading citizens in the Dutch city of Haarlem. The focus is on the role of natural philosophy and natural theology in realizing the ideals of the humanist vocation. Within this context the Erasmian adage ‘collecting of shells’ proves to be a fitting slogan for the pursuit of fruitful repose as the indispensable foundation of a successful commonwealth.,,,,,English,REVIEW
Journal Article,"van Gennip, Joep",2006,"'Vader, wij gaan': Brieven van de Friese pater Joannes (van Assema) Metz S.J. (1808–1841) uit Rome",Tijdschrift voor Nederlandse Kerkgeschiedenis,9,1,3–10,,,1388-3038,,,http://repository.ubn.ru.nl/handle/2066/127190,,19th century,Primary Sources -- Letters|Biography,Europe -- Netherlands -- Friesland|Europe -- Italy -- Rome,,,,,,,Dutch,REVIEW
Journal Article,"Valentina, Ankica",2006,Hrvatske žene sljedbenice Einsteinove teorije relativnosti do 1950. godine,Filozofska Istrazivanja,26,3,595–605,,,0351-4706,,,http://hrcak.srce.hr/11167,,18th century|19th century|20th century,Sciences -- Mathematics|Sciences -- Astronomy|Sciences -- History of Science -- Regional,Europe -- Croatia,,"Hrvatski su isusovci bili blizu vrha svjetske znanosti i imali važnu ulogu u hrvatskoj kulturi, a tako i u znanosti. Mnogi hrvatski isusovci zaslužni su za razvoj prirodnih znanosti. No uz one koji su sada poznati (Herman Dalmatin, Marko Antun de Dominis, Frederik Grisogono, Frane Petrić, Marin Getaldić, Ruđer Bošković i dr.) sigurno je da ima još mnogo onih kojima rad nije dosad izašao na vidjelo. Upravo zato bit će potrebno provesti još mnoga nova istraživanja kojima će biti upotpunjena naša znanja o prinosu hrvatskih isusovaca|prirodnim znanostima. Pogledom u povijest možemo reći da su Hrvati nadograđivali svojim znanstvenim spoznajama u području prirodnih znanosti kulturnu baštinu europske zajednice. U 18. stoljeću znanost se postupno institucionalizira, a u 19. stoljeću postavljaju se temelji za sustavno i moderno ulaganje u znanost. Početkom 20. stoljeća, odnosno 1905. godine, Albert Einstein uvodi nove ideje u fiziku, koje nalaze svoje sljedbenike i u Hrvatskoj. Ovdje izdvajamo i ističemo dvije žene koje su uz mnoge naše znanstvenike bile sljedbenice teorije relativnosti. Zdenka pl. Makanec, udata Blašković (17. rujna 1894. u Zagrebu–16. kolovoza 1971. u Zagrebu) objavila je radove: O relativnosti: I. Relativnost brzine, gibanja i energije (1917.); O relativnosti: II. Relativnost vremena (1917.); Prilog neeuklidskoj statici. Počeci L statike i rješenje dosadanjeg paradoksa (1922.).|Mira Hercigonja (19. siječnja 1897. u Rijeci–9. veljače 1988. u Zagrebu) objavila je radove: Prilog geometriji Lobačevskog: doktorski rad (1931.); Boškovićevi pseudonimi (1955.); Le tableau des nombres premiers (Slika primbrojeva, 1955.); Materijalna tačka u prostoru Lobačevskoga: 1. Varićakova pretpostavka (1961.).||The Croatian Jesuits were in the forefront of world scientific developments, and had a major role in Croatian culture and science. Many Croatian Jesuits have made a significant contribution in the field of natural sciences. However, beside those who are already famous (Hermann of Dalmatia, Marko Antun de Dominis, Frederik Grisogono, Frane Petric, Marin Getaldic, Ruder Boskovic et al.), there are others whose contributions have not been appreciated until now. Thus, there is a need for new research that would add to our knowledge about the role Croatian Jesuits played in field of natural sciences. History shows that Croatian scientists have contributed to the European cultural heritage also in the field of natural sciences. In the 18th century, science had been gradually institutionalized, while in the 19th century, the bases for systematic and modern scientific development had been formed. At the beginning of the 20th century, in 1905, Albert Einstein introduced new concepts into physics, and these new ideas found its followers also in Croatia. Here should be paid a tribute to two women who, together with many other Croatian scientists, have been the followers of the theory of relativity. Zdenka (Makanec) Blaskovic (17 September 1894, Zagreb—16 August 1971, Zagreb) published the following works: O relativnosti: I. Relativnost brzine, gibanja i energije (On relativity: I. Relativity of speed, movement and energy, 1917); O relativnosti: II. Relativnost vremena (On relativity: II. Relativity of time, 1917); Prilog neeuklidskoj statici. Poceci L statike i rjesenje dosadanjeg paradoksa: disertacija (A contribution to non-Euclidean statics. Beginnings of L statics and solution of a prior paradox, 1922). Mira Hercigonja (19 January 1897, Rijeka—9 February 1988, Zagreb) published the following works: Prilog geometriji Lobacevskog: doctoral thesis (A contribution to Lobatchevskis geometry: a PhD thesis, 1931); Boskovicevi pseudonimi (Boskovics pseudonyms, 1955).",,,,,Croatian,REVIEW
Journal Article,"Ulčinaitė, Eugenija",2006,Lietuvos Didziosios Kunigaikstystes XVI–XVII amziaus dvikalbis tekstas: Adresatas ir kalbine raiska,Senoji Lietuvos literatura,,21,63–80,,,1822-3656,,,http://vddb.laba.lt/fedora/get/LT-eLABa-0001:J.04~2006~ISSN_1822-3656.N_21.PG_63-80/DS.002.0.01.ARTIC,,,History -- Regional|Politics|Linguistics,Europe -- Lithuania,,"A considerable part of the 16th–17th century writings in the Grand Duchy of Lithuania were published in two shapes, i.e. both in Latin and Polish. The question is, whether these are translations from one language into another, or two original pieces, and whether the author and addressee of both texts is the same? This is difficult to answer, as the author is often not indicated on the title page, not to mention the translator. In the focus of analysis in this article are a poem dialogue by Eliasz Pielgrzymowski (Pilgrimovius, c.1604) Philopatris ad senatum populumque Lituanum (1597; the Polish translation Milosnik Ojczyzny do Senatu i Rzeczypospolitej Litewskiej) and occasional publications by the Vilnius Jesuit Academy in the 17th century. It is concluded that the Polish and Latin texts do not present translations from one language into another, but rather two independent compositions, characterized by different structure, vocabulary and semantical accents. The Latin text as a rule is based on the antique literary phraseology, allusions to myths, and its nature is more abstract and universal. The addressee of such texts comprises clergy, nobility and representatives of the Academy. In the Polish text, particular popular sayings are used more frequently, and the narrative is of more intimate, emotional nature. Such texts aim at the noblemen of lower education and origins. The bilingual texts of the 16th–17th century Grand Duchy of Lithuania present plenty interesting material...",,,,,Lithuanian,REVIEW
Journal Article,"Ugaglia, Monica",2006,The Science of Magnetism before Gilbert: Leonardo Garzoni's Treatise on the Loadstone,Annals of Science,63,1,59–84,,,0003-3790|1464-505X,10.1080/00033790500405185,,http://www.tandfonline.com/doi/abs/10.1080/00033790500405185,,16th century,Sciences -- Physics -- Magnetism|History of Books,,"Garzoni, Leonardo, 1543–1592","This paper presents the main features of the treatise on magnetism written by the Jesuit Leonardo Garzoni (1543–1592). The treatise was believed to be lost, but a copy of it has been recently recovered. The treatise is briefly described and analysed. The results of a comparison between Garzoni's treatise, Della Porta's Magia Naturalis (1589), and Gilbert's De Magnete (1600) are also summarized. As claimed in the seventeenth century by Niccolò Cabeo and Niccolò Zucchi, the treatise contains quite a lot of the material to be found subsequently in the Magia Naturalis and in the De Magnete. Most importantly, the treatise presents so many interesting features, well before Gilbert's work, which make it the first example of a modern treatment of magnetic phenomena.",,,,,English,KEEP
Journal Article,"Truchet, Bernadette",2006,"Un début d’inculturation en Chine au dix-neuvième siècle: Le père Joseph Gonnet, jésuite (1815–1895)",Mémoire Spiritaine,,23,59–79,,Fall,1254-2520,,http://worldcat.org/oclc/37865478,,,19th century,Foreign Missions -- Inculturation|Foreign Missions -- Biography|Foreign Missions -- History -- Regional,Asia -- China,"Gonnet, Joseph, 1815–1895",,,,,,French,REVIEW
Journal Article,"Torres-Londoño, Fernando",2006,Trabalho indígena na dinâmica de controle das reduções de Maynas no Marañón do século XVII,História,25,1,,,,1980-4369,10.1590/S0101-90742006000100002,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742006000100002,,17th century,Foreign Missions -- Reductions|Foreign Missions -- Economy|Foreign Missions -- Administration,South America -- Brazil -- Maranhão,,"Resgatar as diversas mudanças nas formas de sobrevivência e trabalho dos indígenas decorrentes do assentamento nas missões jesuíticas de Maynas no rio Maranhão é objetivo deste artigo. Isto será feito considerando tanto o contexto das pressões espanholas por mão-de-obra, como as negociações estabelecidas entre índios e missionários.||The aim of this article is to recover the several changes of indigenous people survival and work ways resulting from the base on the jesuitic Maynas missions at Maranhão river. This will be done by considering the context of the Spanish pressure for labor, as well as the negotiations between indigenous people and missionaries.",,,,Indigenuous Work in the Controlling Dynamics of 17th Century Maynas Domination in Maranhão,Portuguese,REVIEW
Journal Article,"Torres Olleta, María Gabriela",2006,"Redes hagiográficas xaverianas: Textos, devoções e representações",Brotéria: Cristianismo e cultura,163,43226,447–458,,November/December,0870-7618,,,http://www.broteria.pt/?detail=1&books_id=313,,16th century|17th century|18th century|19th century|20th century,Saints and Blessed|Writings -- Hagiography|Foreign Missions -- Spirituality -- Devotion -- Saints and Blessed|Foreign Missions -- Biography,,"Francis Xavier, Saint, 1506–1552",,,,,,Portuguese,REVIEW
